filename,timestamp,bbox_id,class_id,x_center,y_center,bbox_width,bbox_height,bbox_area,aspect_ratio
20232882100_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.28ed4ba48b4aee9159b2097cbceab125,2023-10-15 21:00:00,0,0,0.1484375,0.40234375,0.03046875,0.04921875,0.0014996337890625,0.6190476190476191
20232882100_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.28ed4ba48b4aee9159b2097cbceab125,2023-10-15 21:00:00,1,0,0.834375,0.38125,0.0765625,0.084375,0.006459960937500001,0.9074074074074074
20232882110_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.9c21f729dde97a5ad0c26a3f1f98b812,2023-10-15 21:10:00,0,0,0.83359375,0.38203125,0.0765625,0.08359375,0.006400146484375,0.9158878504672898
20232882110_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.9c21f729dde97a5ad0c26a3f1f98b812,2023-10-15 21:10:00,1,0,0.14921875,0.4015625,0.03046875,0.0484375,0.001475830078125,0.6290322580645161
20232882120_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.f7746b0e62dcd845bee4d098fff6a442,2023-10-15 21:20:00,0,0,0.8328125,0.38125,0.07578125,0.0828125,0.006275634765625,0.9150943396226415
20232882120_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.f7746b0e62dcd845bee4d098fff6a442,2023-10-15 21:20:00,1,0,0.14765625,0.39765625,0.028125,0.0453125,0.0012744140625,0.6206896551724138
20232882130_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.32a3404710539ad62f6ce25e49488263,2023-10-15 21:30:00,0,0,0.83359375,0.38203125,0.0765625,0.08515625,0.0065197753906250005,0.8990825688073395
20232882130_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.32a3404710539ad62f6ce25e49488263,2023-10-15 21:30:00,1,0,0.171875,0.5640625,0.08671875,0.06171875,0.0053521728515625,1.4050632911392404
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,0,0,0.83671875,0.3640625,0.0734375,0.13828125,0.010155029296875,0.5310734463276836
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,1,0,0.1453125,0.40625,0.02578125,0.04609375,0.0011883544921875,0.559322033898305
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,2,0,0.08828125,0.46484375,0.0296875,0.0703125,0.0020874023437499997,0.4222222222222222
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,3,0,0.16015625,0.553125,0.09921875,0.08125,0.008061523437499999,1.221153846153846
20232882150_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.63ccdcc9132261c46994b9f55d0ae010,2023-10-15 21:50:00,0,0,0.83359375,0.3828125,0.078125,0.08515625,0.00665283203125,0.9174311926605504
20232882200_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1e94e814c2a940b8fec2631f94a2a548,2023-10-15 22:00:00,0,0,0.8328125,0.38359375,0.078125,0.08515625,0.00665283203125,0.9174311926605504
20232882210_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.61ed1533fefe03d6b53ce3520bfc56c0,2023-10-15 22:10:00,0,0,0.83203125,0.38046875,0.07890625,0.08984375,0.0070892333984374995,0.8782608695652173
20232882220_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.5eb02efc73bbe3733582d9f34a7999ff,2023-10-15 22:20:00,0,0,0.83359375,0.36015625,0.08046875,0.128125,0.01031005859375,0.628048780487805
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,0,0,0.83828125,0.35234375,0.10859375,0.13671875,0.0148468017578125,0.7942857142857143
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,1,0,0.14921875,0.40625,0.02578125,0.06796875,0.0017523193359374998,0.37931034482758624
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,2,0,0.090625,0.459375,0.0296875,0.05546875,0.0016467285156249998,0.5352112676056338
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,3,0,0.1734375,0.575,0.10703125,0.03671875,0.0039300537109375,2.9148936170212765
