filename,timestamp,bbox_id,mean_color,max_color,min_color,std_color,color_gradient
20232882100_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.28ed4ba48b4aee9159b2097cbceab125,2023-10-15 21:00:00,0,121.55925925925926,179.0,23.0,40.15753938953025,24.72592592592592
20232882100_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.28ed4ba48b4aee9159b2097cbceab125,2023-10-15 21:00:00,1,117.72183641975309,240.0,0.0,38.85809516957579,-5.170267489711932
20232882110_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.9c21f729dde97a5ad0c26a3f1f98b812,2023-10-15 21:10:00,0,116.6983173076923,239.0,4.0,38.11983378685927,-4.1875
20232882110_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.9c21f729dde97a5ad0c26a3f1f98b812,2023-10-15 21:10:00,1,122.79074074074074,184.0,16.0,39.774907260727225,29.316049382716045
20232882120_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.f7746b0e62dcd845bee4d098fff6a442,2023-10-15 21:20:00,0,116.27283653846153,244.0,5.0,37.37699483526716,-3.4172008547008517
20232882120_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.f7746b0e62dcd845bee4d098fff6a442,2023-10-15 21:20:00,1,128.86507936507937,184.0,16.0,38.444786872762265,28.296296296296305
20232882130_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.32a3404710539ad62f6ce25e49488263,2023-10-15 21:30:00,0,115.29745370370371,241.0,0.0,37.40526956255281,-1.8986625514403244
20232882130_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.32a3404710539ad62f6ce25e49488263,2023-10-15 21:30:00,1,108.35477582846003,198.0,0.0,44.706426634820865,31.124106562703048
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,0,121.77050395256917,245.0,0.0,42.68459040967459,-2.248682476943344
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,1,133.75892857142858,187.0,18.0,39.07907403487792,22.416666666666686
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,2,120.0290404040404,216.0,0.0,41.640693906059795,40.23063973063974
20232882140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1c17344869d36ced8dc9b0061757f001,2023-10-15 21:40:00,3,96.58219602977667,199.0,0.0,46.031870156614524,26.722497932175344
20232882150_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.63ccdcc9132261c46994b9f55d0ae010,2023-10-15 21:50:00,0,111.55407407407408,237.0,3.0,36.82042058818461,-0.8256790123456739
20232882200_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1e94e814c2a940b8fec2631f94a2a548,2023-10-15 22:00:00,0,109.80666666666667,247.0,4.0,36.94594189112279,-0.5777777777777828
20232882210_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.61ed1533fefe03d6b53ce3520bfc56c0,2023-10-15 22:10:00,0,108.6425,238.0,3.0,37.72257349244425,3.0042857142857144
20232882220_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.5eb02efc73bbe3733582d9f34a7999ff,2023-10-15 22:20:00,0,118.53658536585365,253.0,5.0,42.490766607309624,-2.2308943089430926
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,0,112.42373461012312,252.0,0.0,46.873815508310535,17.091199270405838
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,1,117.81696428571429,197.0,1.0,49.358601656156196,32.426587301587304
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,2,129.38071895424838,218.0,5.0,39.124910835030896,30.368191721132902
20232882230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c3fc992767497c8701d0d441f2bd1664,2023-10-15 22:30:00,3,113.3836898395722,209.0,0.0,46.46446346397115,46.83957219251336
